Date,Team_ID,Team,Opponent,Result,Off Pass Att,Off Pass Yards,Off Int,Location,Off Rush Att,Off Rush Yards,Def Pass Att,Def Pass Yards,Def Rush Att,Def Rush Yards,Def Sacks,Def Sack Yards,Off Plays,Pen,Pen Yards
11/08/08,31,Arkansas,South Carolina,L 21-34,34,255,3,away,31,54,30,219,34,132,2,9,65,5,36
11/22/08,31,Arkansas,Mississippi St.,L 28-31,44,333,1,away,26,109,40,219,35,226,1,14,70,5,33
11/28/08,31,Arkansas,LSU,W 31-30,40,280,1,home,31,118,21,143,44,161,5,24,71,7,66
08/30/08,30,Arkansas State,Texas A&M,W 18-14,28,160,0,away,45,255,27,170,36,133,4,28,73,6,70
09/06/08,30,Arkansas State,FCS,W 83-10,10,229,0,home,44,441,31,128,39,95,2,21,54,9,83
09/13/08,30,Arkansas State,Southern Miss.,L 24-27,35,256,1,home,35,181,31,219,41,129,3,8,70,6,59
09/20/08,30,Arkansas State,Middle Tenn. St.,W 31-14,31,292,0,home,34,148,37,271,25,44,2,21,65,8,48
09/27/08,30,Arkansas State,Memphis,L 17-29,23,173,1,away,40,179,29,210,41,243,1,4,63,10,103
10/11/08,30,Arkansas State,La.-Monroe,W 37-29,16,129,0,home,44,262,42,309,26,87,5,20,60,5,50
10/18/08,30,Arkansas State,La.-Lafayette,L 23-28,40,235,1,away,28,100,17,124,51,189,5,25,68,10,75
11/01/08,30,Arkansas State,Alabama,L 0-35,17,67,1,away,37,91,28,152,36,205,2,19,54,7,73
11/08/08,30,Arkansas State,Florida Int'l,L 21-22,26,149,1,away,49,222,34,359,22,48,2,16,75,8,96
11/22/08,30,Arkansas State,Fla. Atlantic,W 28-14,28,279,1,home,42,203,38,196,23,63,1,9,70,6,50
11/29/08,30,Arkansas State,North Texas,W 33-28,22,205,0,away,45,188,42,217,31,110,1,7,67,5,38
12/06/08,30,Arkansas State,Troy,L 9-35,32,172,2,away,45,160,24,181,30,156,0,0,77,4,35
08/29/08,725,Army,Temple,L 7-35,15,74,1,home,58,210,23,166,30,84,0,0,73,3,45
09/06/08,725,Army,FCS,L 10-28,11,95,0,home,55,169,17,138,38,184,2,7,66,4,40
09/20/08,725,Army,Akron,L 3-22,13,63,1,home,48,160,25,204,37,153,0,0,61,3,40
09/27/08,725,Army,Texas A&M,L 17-21,5,4,0,away,65,280,19,157,29,133,1,7,70,5,38
10/04/08,725,Army,Tulane,W 44-13,5,43,0,away,44,291,42,330,38,156,0,0,49,2,20
10/11/08,725,Army,Eastern Mich.,W 17-13,3,0,0,home,59,341,30,138,29,117,2,12,62,3,28
10/18/08,725,Army,Buffalo,L 24-27,6,52,0,away,54,320,35,279,30,41,5,43,60,7,53
10/25/08,725,Army,Louisiana Tech,W 14-7,9,32,1,home,56,203,19,84,38,68,5,41,65,1,10
11/01/08,725,Army,Air Force,L 7-16,26,107,2,home,48,143,8,32,49,142,0,0,74,4,45
11/08/08,725,Army,Rice,L 31-38,15,31,0,away,65,461,28,384,29,133,2,24,80,5,60
11/22/08,725,Army,Rutgers,L 3-30,4,2,0,away,47,217,34,359,30,162,2,16,51,7,43
12/06/08,725,Army,Navy,L 0-34,16,52,1,neutral,36,102,10,62,57,368,0,0,52,2,15
08/30/08,37,Auburn,La.-Monroe,W 34-0,27,85,1,home,46,321,38,136,30,84,2,11,73,7,55
09/06/08,37,Auburn,Southern Miss.,W 27-13,34,248,1,home,41,132,50,268,27,37,3,16,75,6,53
09/13/08,37,Auburn,Mississippi St.,W 3-2,26,154,0,away,45,161,25,78,30,38,3,13,71,12,94
09/20/08,37,Auburn,LSU,L 21-26,32,250,2,home,36,70,29,220,38,178,2,9,68,2,10
09/27/08,37,Auburn,Tennessee,W 14-12,29,129,1,home,38,97,24,67,33,124,2,5,67,9,59
10/04/08,37,Auburn,Vanderbilt,L 13-14,22,98,1,away,44,110,31,157,32,106,1,10,66,11,81
10/11/08,37,Auburn,Arkansas,L 22-25,28,137,3,home,33,56,33,228,44,188,1,2,61,2,5
10/23/08,37,Auburn,West Virginia,L 17-34,21,111,1,away,45,149,21,174,35,271,2,22,66,5,49
11/01/08,37,Auburn,Mississippi,L 7-17,43,319,3,away,25,75,30,140,41,233,3,13,68,9,67
11/08/08,37,Auburn,FCS,W 37-20,25,162,0,home,50,290,46,285,15,38,1,11,75,1,5
11/15/08,37,Auburn,Georgia,L 13-17,31,179,0,home,36,124,24,215,33,136,0,0,67,6,45
11/29/08,37,Auburn,Alabama,L 0-36,23,113,0,away,30,57,18,178,50,234,1,3,53,4,45
08/30/08,77,BYU,FCS,W 41-17,41,486,0,home,28,77,25,213,40,149,1,8,69,8,65
09/06/08,77,BYU,Washington,W 28-27,41,338,1,away,28,137,32,204,35,133,4,33,69,7,60
09/13/08,77,BYU,UCLA,W 59-0,40,337,1,home,45,184,39,230,16,9,2,16,85,8,71
09/20/08,77,BYU,Wyoming,W 44-0,37,201,0,home,34,163,36,136,36,137,1,9,71,9,79
10/03/08,77,BYU,Utah St.,W 34-14,37,303,2,away,30,103,27,193,43,124,5,29,67,12,123
10/11/08,77,BYU,New Mexico,W 21-3,34,258,0,home,28,124,22,155,50,130,3,32,62,4,48
10/16/08,77,BYU,TCU,L 7-32,42,274,2,away,28,23,19,170,51,240,1,8,70,7,84
10/25/08,77,BYU,UNLV,W 42-35,32,245,0,home,33,205,44,351,31,112,1,11,65,7,39
11/01/08,77,BYU,Colorado St.,W 45-42,35,389,1,away,35,162,36,270,29,131,2,19,70,6,67
11/08/08,77,BYU,San Diego St.,W 41-12,30,317,0,home,37,104,37,160,28,120,0,0,67,5,50
11/15/08,77,BYU,Air Force,W 38-24,37,354,1,away,36,126,20,98,51,323,0,0,73,9,68
11/22/08,77,BYU,Utah,L 24-48,41,205,5,away,30,214,37,307,35,108,1,4,71,9,85
12/20/08,77,BYU,Arizona,L 21-31,46,328,1,neutral,32,116,35,325,28,91,1,8,78,10,76
08/28/08,47,Ball State,FCS,W 48-14,26,297,0,home,31,190,37,231,32,93,2,20,57,4,45
09/05/08,47,Ball State,Navy,W 35-23,28,326,2,home,29,162,11,67,59,346,2,10,57,3,33
09/13/08,47,Ball State,Akron,W 41-24,36,300,1,away,44,191,45,299,28,119,2,9,80,4,40
09/20/08,47,Ball State,Indiana,W 42-20,25,239,0,away,42,224,25,159,48,256,2,10,67,2,15
09/27/08,47,Ball State,Kent St.,W 41-20,35,265,0,home,37,158,24,177,35,176,2,16,72,1,10
10/04/08,47,Ball State,Toledo,W 31-0,30,242,0,away,44,240,31,143,19,14,1,8,74,5,50
10/11/08,47,Ball State,Western Ky.,W 24-7,22,155,1,away,40,200,31,169,34,183,1,11,62,7,71
10/25/08,47,Ball State,Eastern Mich.,W 38-16,32,245,1,home,24,163,50,309,29,67,2,13,56,0,0
11/05/08,47,Ball State,Northern Ill.,W 45-14,23,310,0,home,40,219,22,115,29,160,2,13,63,0,0
11/11/08,47,Ball State,Miami (Ohio),W 31-16,24,289,1,away,38,195,42,254,26,76,0,0,62,0,0
11/19/08,47,Ball State,Central Mich.,W 31-24,22,175,0,away,39,232,45,345,40,121,3,25,61,3,35
11/25/08,47,Ball State,Western Mich.,W 45-22,25,273,0,home,43,179,36,206,28,137,1,10,68,1,5
12/05/08,47,Ball State,Buffalo,L 24-42,48,351,1,neutral,41,152,29,206,26,95,1,8,89,6,45
01/06/09,47,Ball State,Tulsa,L 13-45,29,145,1,neutral,28,78,26,193,64,439,4,19,57,3,25
08/28/08,51,Baylor,Wake Forest,L 13-41,30,156,2,home,34,94,36,220,44,156,1,6,64,7,59
09/06/08,51,Baylor,FCS,W 51-6,26,330,0,home,39,207,33,138,37,52,3,33,65,6,46
09/12/08,51,Baylor,Washington St.,W 45-17,16,129,0,home,42,426,38,263,39,77,7,45,58,10,75
09/19/08,51,Baylor,Connecticut,L 28-31,25,208,0,away,43,169,23,125,46,225,0,0,68,8,77
10/04/08,51,Baylor,Oklahoma,L 17-49,26,75,0,home,41,194,34,377,58,217,0,0,67,3,14
10/11/08,51,Baylor,Iowa St.,W 38-10,26,288,0,home,50,147,41,176,18,81,0,0,76,7,39
10/18/08,51,Baylor,Oklahoma St.,L 6-34,27,162,0,away,31,42,20,238,58,219,0,0,58,6,60
10/25/08,51,Baylor,Nebraska,L 20-32,20,134,0,away,33,216,46,336,37,161,2,5,53,6,39
11/01/08,51,Baylor,Missouri,L 28-31,35,283,1,home,44,155,39,337,34,153,1,10,79,8,85
11/08/08,51,Baylor,Texas,L 21-45,20,71,1,away,29,201,37,300,47,194,1,1,49,8,72
11/15/08,51,Baylor,Texas A&M,W 41-21,23,241,0,home,52,269,30,244,21,64,2,18,75,5,50
11/29/08,51,Baylor,Texas Tech,L 28-35,16,91,1,away,43,229,50,309,24,56,2,17,59,6,40
08/30/08,66,Boise State,FCS,W 49-7,29,352,0,home,37,230,23,92,45,115,4,44,66,6,69
09/13/08,66,Boise State,Bowling Green,W 20-7,23,180,0,home,33,160,36,204,36,103,2,24,56,8,73
09/20/08,66,Boise State,Oregon,W 37-32,37,386,1,away,35,38,32,237,52,227,2,11,72,9,69
10/01/08,66,Boise State,Louisiana Tech,W 38-3,31,332,1,home,44,132,30,202,36,118,2,14,75,2,20
10/11/08,66,Boise State,Southern Miss.,W 24-7,30,170,1,away,34,180,34,160,33,118,3,22,64,9,89
10/17/08,66,Boise State,Hawaii,W 27-7,34,256,0,home,31,111,38,232,35,56,7,37,65,7,64
10/24/08,66,Boise State,San Jose St.,W 33-16,41,244,1,away,48,149,31,98,21,109,0,0,89,11,100
11/01/08,66,Boise State,New Mexico St.,W 49-0,29,279,1,away,33,216,31,112,39,38,6,31,62,11,90
