LABEL,HOME,OPASS,ORUSH,OINT,DPASS,DRUSH,TPEN
L,1,4.553191489361702,3.34375,0.044444444444444446,7.766666666666667,7.069767441860465,0.8051948051948052
L,0,5.212121212121212,2.4375,0.0,7.676470588235294,2.8684210526315788,1.3333333333333333
W,0,6.181818181818182,4.55,0.0,5.404761904761905,1.8571428571428572,1.295774647887324
W,1,7.147058823529412,3.9166666666666665,0.0,4.1,0.2916666666666667,1.5522388059701493
W,1,2.6551724137931036,0.875,0.038461538461538464,4.931818181818182,2.4857142857142858,1.12
L,0,3.088235294117647,1.6521739130434783,0.03225806451612903,7.675675675675675,2.625,1.1296296296296295
W,0,7.973684210526316,5.083333333333333,0.0,6.75,2.730769230769231,0.6285714285714286
L,1,4.208333333333333,2.967741935483871,0.08695652173913043,4.933333333333334,9.371428571428572,0.38961038961038963
L,0,3.4857142857142858,0.4230769230769231,0.03571428571428571,9.26086956521739,4.16,0.7037037037037037
L,1,5.0476190476190474,5.64,0.02631578947368421,8.137931034482758,7.315789473684211,1.1904761904761905
W,0,6.647058823529412,4.2727272727272725,0.06060606060606061,4.892857142857143,1.696969696969697,0.6103896103896104
L,0,2.625,4.627450980392157,0.06896551724137931,8.114285714285714,3.142857142857143,1.275
L,1,6.119047619047619,4.16,0.02631578947368421,7.7407407407407405,3.5555555555555554,0.8253968253968254
W,1,8.853658536585366,1.6129032258064515,0.02631578947368421,10.424242424242424,3.9148936170212765,0.5217391304347826
L,0,5.275,1.7419354838709677,0.08823529411764706,7.3,3.8823529411764706,0.5538461538461539
L,0,6.891304347826087,4.1923076923076925,0.022727272727272728,5.475,6.457142857142857,0.4714285714285714
W,1,5.391304347826087,3.806451612903226,0.025,6.809523809523809,3.659090909090909,0.9295774647887324
W,0,4.9,5.666666666666667,0.0,6.296296296296297,3.6944444444444446,0.958904109589041
L,1,6.594594594594595,5.171428571428572,0.02857142857142857,7.064516129032258,3.1463414634146343,0.8428571428571429
W,1,9.419354838709678,4.352941176470588,0.0,7.324324324324325,1.76,0.7384615384615385
L,0,4.413793103448276,4.475,0.043478260869565216,7.241379310344827,5.926829268292683,1.6349206349206349
W,1,5.888888888888889,5.954545454545454,0.0,7.357142857142857,3.3461538461538463,0.8333333333333334
L,0,5.023809523809524,3.5714285714285716,0.025,7.294117647058823,3.7058823529411766,1.1029411764705883
L,0,1.9523809523809523,2.4594594594594597,0.058823529411764705,5.428571428571429,5.694444444444445,1.3518518518518519
L,0,3.806451612903226,4.530612244897959,0.038461538461538464,10.558823529411764,2.1818181818181817,1.28
W,1,9.964285714285714,4.833333333333333,0.03571428571428571,5.157894736842105,2.739130434782609,0.7142857142857143
W,0,6.769230769230769,4.177777777777778,0.0,5.166666666666667,3.5483870967741935,0.5671641791044776
L,0,4.514285714285714,3.5555555555555554,0.0625,7.541666666666667,5.2,0.45454545454545453
L,1,4.933333333333334,3.6206896551724137,0.06666666666666667,7.217391304347826,2.8,0.6164383561643836
L,1,2.75,3.3333333333333335,0.07692307692307693,8.16,4.135135135135135,0.6557377049180327
L,0,0.8,4.3076923076923075,0.0,8.263157894736842,4.586206896551724,0.5428571428571428
W,0,8.6,6.613636363636363,0.0,7.857142857142857,4.105263157894737,0.40816326530612246
W,1,0.0,5.779661016949152,0.0,4.6,4.0344827586206895,0.45161290322580644
L,0,8.666666666666666,5.925925925925926,0.0,7.9714285714285715,1.3666666666666667,0.8833333333333333
W,1,3.5555555555555554,3.625,0.1111111111111111,4.421052631578948,1.7894736842105263,0.15384615384615385
L,1,3.814814814814815,2.9791666666666665,0.07692307692307693,4.0,2.8979591836734695,0.6081081081081081
L,0,1.2941176470588236,7.092307692307692,0.0,13.714285714285714,4.586206896551724,0.75
L,0,-1.2,4.617021276595745,0.0,10.558823529411764,5.4,0.8431372549019608
L,0,2.5,2.8333333333333335,0.0625,6.2,6.456140350877193,0.28846153846153844
W,1,2.9285714285714284,6.978260869565218,0.037037037037037035,3.5789473684210527,2.8,0.7534246575342466
W,1,6.942857142857143,3.2195121951219514,0.029411764705882353,5.36,1.3703703703703705,0.7066666666666667
W,0,5.481481481481482,3.577777777777778,0.0,3.12,1.2666666666666666,1.323943661971831
L,1,6.676470588235294,1.9444444444444444,0.0625,7.586206896551724,4.684210526315789,0.14705882352941177
W,1,3.838709677419355,2.5526315789473686,0.034482758620689655,2.7916666666666665,3.757575757575758,0.8805970149253731
L,0,2.4444444444444446,2.5,0.045454545454545456,5.064516129032258,3.3125,1.2272727272727273
L,1,3.34375,1.696969696969697,0.10714285714285714,6.909090909090909,4.2727272727272725,0.08196721311475409
L,0,4.681818181818182,3.311111111111111,0.047619047619047616,8.285714285714286,7.742857142857143,0.7424242424242424
L,0,7.4186046511627906,3.0,0.06976744186046512,4.666666666666667,5.682926829268292,0.9852941176470589
L,1,5.774193548387097,3.4444444444444446,0.0,8.958333333333334,4.121212121212121,0.6716417910447762
L,0,3.72,1.9,0.0,9.88888888888889,4.68,0.8490566037735849
